platform,domain,cat,tier,public_profile,gate,signup_url,signup_url_status,sample_public_profile_url,help_url,link_policy,link_policy_status,link_policy_source,link_slots,link_slots_status,rel_observed,rel_status,rel_source,meta_robots,canonical,indexable,indexable_status,js_rendered,http_status,maxlength_fields,observed_at,review_time,fee,kyc_docs,deep_link_assigned,notes
Upwork,upwork.com,MKT,1,Y,ID+review,,unknown,,,"External portfolio/website links permitted, BUT the linked page must not display contact information. Sharing contact details before a contract is a ToS violation.",reported,https://support.upwork.com/hc/en-us/articles/360051749534-How-to-keep-your-contact-information-safe-on-Upwork,portfolio item only,reported,,unknown,,,,,unknown,,,,,,,,/case-study/carinfo-45m-mau,"RISK: pmyogesh.com publishes an email address on /contact, so linking the root from an Upwork profile may breach the no-contact-info rule. Link a case-study URL instead and confirm that page shows no email."
Contra,contra.com,MKT,1,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-0-to-100k,
Fiverr Pro,fiverr.com,MKT,2,Y,VET,,unknown,,,Same off-platform policy as Fiverr.,reported,https://help.fiverr.com/hc/en-us/articles/38728907371665-Community-Standards-Off-platform-policy,none,reported,,unknown,,,,,unknown,,,,,,,,/case-study/insurance-funnel-1200-growth,Treat as PRIVATE for backlink purposes.
Fiverr,fiverr.com,MKT,3,Y,OTP+ID,,unknown,,,External links prohibited in gig images; promoting services or websites outside Fiverr is prohibited. No usable link slot.,reported,https://help.fiverr.com/hc/en-us/articles/37333366372881-Gig-violations,none,reported,,unknown,,,,,unknown,,,,,,,,/case-study/programmatic-seo-calculators,"Treat as PRIVATE for backlink purposes. Value is leads and reviews, not a citation."
PeoplePerHour,peopleperhour.com,MKT,2,Y,VET-light,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/rank-1-fintech-keywords,
Freelancer.com,freelancer.com,MKT,3,Y,ID,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-moat-remittance,
Guru,guru.com,MKT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/growth-loop-repeat-users,
Truelancer,truelancer.com,MKT,3,Y,OTP+ID,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/user-acquisition-cac-30,
Workana,workana.com,MKT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/consumer-app-growth-consultant,
FreeUp,freeup.net,MKT,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Twine,twine.net,MKT,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/fintech-product-consultant,
Toptal,toptal.com,VET,1,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Braintrust,usebraintrust.com,VET,1,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
A.Team,a.team,VET,1,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
MarketerHire,marketerhire.com,VET,1,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Growth Collective,growthcollective.com,VET,1,?,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Mayple,mayple.com,VET,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Credo,getcredo.com,VET,2,Y,VET+SUB,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/product-monetisation-consultant,
Hire Digital,hiredigital.com,VET,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Uplers,uplers.com,VET,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Flexiple,flexiple.com,VET,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Flexing It,flexingit.com,CON,1,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Outsized,outsized.com,CON,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Catalant,gocatalant.com,CON,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Business Talent Group,businesstalentgroup.com,CON,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Graphite,graphite.com,CON,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Talmix,talmix.com,CON,2,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Malt,malt.com,CON,2,Y,OTP+review,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/saas-product-consultant,
Consultport,consultport.com,CON,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Movemeon,movemeon.com,CON,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Expert360,expert360.com,CON,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
YunoJuno,yunojuno.com,CON,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Freelancermap,freelancermap.com,CON,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/marketplace-product-consultant,
GLG,glginsights.com,EXP,1,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
AlphaSights,alphasights.com,EXP,1,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Guidepoint,guidepoint.com,EXP,1,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Third Bridge,thirdbridge.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Coleman Research,colemanrg.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Dialectica,dialecticanet.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Atheneum,atheneum.ai,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
proSapient,prosapient.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
NewtonX,newtonx.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Techspert,techspert.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
AlphaSense,alpha-sense.com,EXP,2,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Arbolus,arbolus.com,EXP,3,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Lynk,lynk.global,EXP,3,N,VET+compliance,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Office Hours,officehours.com,EXP,3,?,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Topmate,topmate.io,1:1,1,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/product-growth-score,
GrowthMentor,growthmentor.com,1:1,1,Y,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/carinfo-45m-mau,
MentorCruise,mentorcruise.com,1:1,2,Y,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-0-to-100k,
ADPList,adplist.org,1:1,2,Y,VET-light,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/insurance-funnel-1200-growth,
Intro,intro.co,1:1,2,Y,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/programmatic-seo-calculators,
Superpeer,superpeer.com,1:1,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/rank-1-fintech-keywords,
Clarity.fm,clarity.fm,1:1,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-moat-remittance,
Plato,platohq.com,1:1,3,N,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,,
Preplaced,preplaced.in,1:1,3,Y,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/growth-loop-repeat-users,
Clutch,clutch.co,DIR,1,Y,REV,,unknown,,,Profile 'Visit Website' button is permitted.,reported,https://help.clutch.co/en/knowledge/is-link-on-company-profile-follow-link,website,reported,nofollow,reported,https://help.clutch.co/en/knowledge/is-link-on-company-profile-follow-link,,,,unknown,,,,,,,,/case-study/user-acquisition-cac-30,"Clutch's own help centre states the profile link is not a follow link. Still worth doing for the entity signal, referral traffic and Leaders Matrix eligibility — just not for PageRank."
GoodFirms,goodfirms.co,DIR,1,Y,REV,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/consumer-app-growth-consultant,
Google Business Profile,business.google.com,DIR,1,Y,ID/video,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/fintech-product-consultant,
The Manifest,themanifest.com,DIR,2,Y,via Clutch,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/product-monetisation-consultant,
DesignRush,designrush.com,DIR,2,Y,REV/SUB,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/saas-product-consultant,
Semrush Agency Partners,agencies.semrush.com,DIR,2,Y,SUB,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/marketplace-product-consultant,
Peerlist,peerlist.io,DIR,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/product-growth-score,
Behance,behance.net,DIR,2,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/carinfo-45m-mau,
n8n Experts,n8n.io,DIR,2,Y,partner,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-0-to-100k,
Zapier Experts,zapier.com,DIR,3,Y,VET,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/insurance-funnel-1200-growth,
Make Partners,make.com,DIR,3,Y,partner,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/programmatic-seo-calculators,
Notion Consultants,notion.com,DIR,3,Y,certification,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/rank-1-fintech-keywords,
Sortlist,sortlist.com,DIR,3,Y,SUB,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/seo-moat-remittance,
UpCity,upcity.com,DIR,3,Y,REV/SUB,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/growth-loop-repeat-users,
Agency Spotter,agencyspotter.com,DIR,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/case-study/user-acquisition-cac-30,
TechBehemoths,techbehemoths.com,DIR,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/consumer-app-growth-consultant,
TopDevelopers,topdevelopers.co,DIR,3,Y,OTP,,unknown,,,,unknown,,,unknown,,unknown,,,,,unknown,,,,,,,,/consulting/fintech-product-consultant,
